,City,Population,Total_Employees,Total_Officers,Total_Civilians,Total_Crime,Employees_PTP,Officers_PTP,Civilians_PTP,Crime_PTP,Crime_PTP_Rank
127,Hanford,55299,81.0,55.0,26.0,,1.46,0.99,0.47,,333.0
71,Costa Mesa,113477,177.0,114.0,63.0,,1.56,1.0,0.56,,333.0
24,Bell Gardens,43411,64.0,50.0,14.0,,1.47,1.15,0.32,,333.0
73,Covina,49300,81.0,56.0,25.0,,1.64,1.14,0.51,,333.0
74,Crescent City,6599,12.0,11.0,1.0,,1.82,1.67,0.15,,333.0
239,Richmond,109716,265.0,177.0,88.0,,2.42,1.61,0.8,,333.0
102,Ferndale,1362,5.0,5.0,0.0,,3.67,3.67,0.0,,333.0
241,Rio Dell,3378,5.0,5.0,0.0,,1.48,1.48,0.0,,333.0
21,Bear Valley,5428,14.0,5.0,9.0,,2.58,0.92,1.66,,333.0
76,Cypress,49560,68.0,52.0,16.0,,1.37,1.05,0.32,,333.0
18,Baldwin Park,77538,92.0,65.0,27.0,,1.19,0.84,0.35,,333.0
98,Exeter,10611,17.0,15.0,2.0,,1.6,1.41,0.19,,333.0
225,Placentia,52753,62.0,46.0,16.0,,1.18,0.87,0.3,,333.0
257,San Gabriel,40714,65.0,50.0,15.0,,1.6,1.23,0.37,,333.0
223,Pismo Beach,7998,31.0,19.0,12.0,,3.88,2.38,1.5,,333.0
107,Fortuna,11876,23.0,15.0,8.0,,1.94,1.26,0.67,,333.0
42,Calipatria,7492,5.0,5.0,0.0,,0.67,0.67,0.0,,333.0
197,Nevada City,3020,11.0,9.0,2.0,,3.64,2.98,0.66,,333.0
40,Calexico,40085,45.0,28.0,17.0,,1.12,0.7,0.42,,333.0
109,Fountain Valley,57392,79.0,60.0,19.0,,1.38,1.05,0.33,,333.0
108,Foster City,33313,50.0,36.0,14.0,,1.5,1.08,0.42,,333.0
206,Orange,140572,203.0,150.0,53.0,,1.44,1.07,0.38,,333.0
208,Orland,7549,13.0,13.0,0.0,,1.72,1.72,0.0,,333.0
209,Oroville,16289,45.0,24.0,21.0,,2.76,1.47,1.29,,333.0
37,Buena Park,83684,119.0,83.0,36.0,,1.42,0.99,0.43,,333.0
33,Brea,42043,96.0,63.0,33.0,,2.28,1.5,0.78,,333.0
214,Palo Alto,67560,142.0,85.0,57.0,,2.1,1.26,0.84,,333.0
32,Brawley,26023,49.0,35.0,14.0,,1.88,1.34,0.54,,333.0
216,Paradise,26514,31.0,19.0,12.0,,1.17,0.72,0.45,,333.0
218,Pasadena,141815,333.0,221.0,112.0,,2.35,1.56,0.79,,333.0
219,Paso Robles,31659,46.0,32.0,14.0,,1.45,1.01,0.44,,333.0
30,Bishop,3833,19.0,13.0,6.0,,4.96,3.39,1.57,,333.0
82,Dinuba,24223,48.0,37.0,11.0,,1.98,1.53,0.45,,333.0
